卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
245,フーディン,胡地,SV8a,059/187,宝可梦/2阶进化,无,无,勇基拉,140,超,恶,斗,1,斯托雷恩吉哈库,超,无,对手的战斗宝可梦【混乱】。对手的场上的宝可梦放置有伤害指示物任意选择，对手的场上的宝可梦以任意方式转移放置。
245,フーディン,胡地,SV8a,059/187,宝可梦/2阶进化,无,无,勇基拉,140,超,恶,斗,1,精神强念,超,10,对手的战斗宝可梦附有能量的数×50点伤害追加。
246,エーフィex,太阳精灵ex,MC,298/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,超,恶,斗,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
246,エーフィex,太阳精灵ex,MC,298/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,超,恶,斗,1,精神阿乌托,超●●,160,对手的手牌从正面見在1张选择，弃牌区。
246,エーフィex,太阳精灵ex,MC,298/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,超,恶,斗,1,阿玛泽兹,草超恶,无,对手的已经进化的宝可梦全員的从上方，各自「进化卡」1张各剥离退化。剥离的卡，对手的牌库放次并洗切。
247,ペロッパフ,绵绵泡芙,SV8a,067/187,宝可梦/基础,无,无,无,50,超,钢,无,1,[特性],无,无,场上「祭典会场」出的话，这宝可梦，带有招式2次连续在可以使用。（1次目的招式在对手的战斗宝可梦【昏厥】的话，次的战斗宝可梦出之后，2次目的使用招式。）
247,ペロッパフ,绵绵泡芙,SV8a,067/187,宝可梦/基础,无,无,无,50,超,钢,无,1,和放置,超,无,对手的宝可梦1只，伤害指示物2个放置。
248,ブラッキーex,月精灵ex,MC,446/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,280,恶,草,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
248,ブラッキーex,月精灵ex,MC,446/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,280,恶,草,无,2,月米拉-吉尤,恶●●,160,对手的战斗宝可梦【混乱】。
248,ブラッキーex,月精灵ex,MC,446/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,280,恶,草,无,2,欧尼基斯,雷超恶,无,这宝可梦附有能量全部弃牌区，自己的奖赏卡1张拿取。
249,イーブイex,伊布ex,MC,566/742,宝可梦/基础,ex,太晶(星晶),无,200,无,斗,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
249,イーブイex,伊布ex,MC,566/742,宝可梦/基础,ex,太晶(星晶),无,200,无,斗,无,1,[特性]DNA,无,无,这宝可梦，「伊布」从进化「宝可梦【ex】」手牌从放出，这宝可梦的可以进化。（自己的最初次合、，刚放出的番对不能进化。）
249,イーブイex,伊布ex,MC,566/742,宝可梦/基础,ex,太晶(星晶),无,200,无,斗,无,1,库欧-兹希亚伊恩,火水雷,200,无
250,ホーホー,咕咕,SV8a,127/187,宝可梦/基础,无,无,无,80,无,雷,斗,2,[特性],无,无,这宝可梦【睡眠】的话。
250,ホーホー,咕咕,SV8a,127/187,宝可梦/基础,无,无,无,80,无,雷,斗,2,撞击,●●,20,无
251,レジギガス,雷吉奇卡斯,SV8a,132/187,宝可梦/基础,无,无,无,160,无,斗,无,4,吉尤艾鲁破坏,●●●●,100,对手的战斗宝可梦「太晶」的宝可梦的话，230点伤害追加。
252,キャタピー,绿毛虫,SV9,001/100,宝可梦/基础,无,无,无,50,草,火,无,1,无,草,20,无
253,トランセル,铁甲蛹,SV9,002/100,宝可梦/1阶进化,无,无,绿毛虫,90,草,火,无,3,无,草,无,下一个对手的次合，这宝可梦「60」以下的招式的伤害不受。
254,バタフリー,巴大蝶,SV9,003/100,宝可梦/2阶进化,无,无,铁甲蛹,120,草,火,无,1,哈利凯-恩,草,60×,硬币4次掷，正面的数×60点伤害。正面2次以上的话，对手的战斗宝可梦【麻痹】。
255,マラカッチ,街头沙铃,SV9,006/100,宝可梦/基础,无,无,无,110,草,火,无,2,[特性],无,无,这宝可梦，战斗场在对手的宝可梦从招式的伤害受【昏厥】时，招式使用过宝可梦伤害指示物6个放置。
255,マラカッチ,街头沙铃,SV9,006/100,宝可梦/基础,无,无,无,110,草,火,无,2,无,●,20,下一个对手的次合，这个招式受到宝可梦，不能撤退。
256,ブーバーン,鸭嘴焰龙,MC,092/742,宝可梦/1阶进化,无,无,鸭嘴火兽,130,火,水,无,2,[特性]玛古玛的,无,无,这宝可梦期间，对手的【灼伤】的宝可梦，【灼伤】在放置伤害指示物的数3个多。
256,ブーバーン,鸭嘴焰龙,MC,092/742,宝可梦/1阶进化,无,无,鸭嘴火兽,130,火,水,无,2,、,火火●,90,硬币1次掷正面的话，对手的战斗宝可梦【灼伤】。
257,Nのダルマッカ,N的火红不倒翁,MC,118/742,宝可梦/基础,无,训练家的宝可梦（N）,无,80,火,水,无,2,撞击,●●,20,无
257,Nのダルマッカ,N的火红不倒翁,MC,118/742,宝可梦/基础,无,训练家的宝可梦（N）,无,80,火,水,无,2,火,火火●,50,无
258,Nのヒヒダルマ,N的达摩狒狒,MC,119/742,宝可梦/1阶进化,无,训练家的宝可梦（N）,N的火红不倒翁,140,火,水,无,3,巴库多拉夫托,●●,30×,对手的弃牌区基本能量卡的张数×30点伤害。
258,Nのヒヒダルマ,N的达摩狒狒,MC,119/742,宝可梦/1阶进化,无,训练家的宝可梦（N）,N的火红不倒翁,140,火,水,无,3,加农炮,火火●,90,这宝可梦附有能量全部弃牌区，对手的备战区宝可梦1只也对，90点伤害。［备战区弱点・抵抗力不计算。］
259,ボルケニオンex,波尔凯尼恩ex,MC,129/742,宝可梦/基础,ex,无,无,220,火,水,无,3,[特性]、带有,无,无,这宝可梦战斗场的话，自己的番1次可以使用。对手的战斗宝可梦【灼伤】。
259,ボルケニオンex,波尔凯尼恩ex,MC,129/742,宝可梦/基础,ex,无,无,220,火,水,无,3,热萨伊库洛恩,火火●,160,这宝可梦附有能量1个选择，备战区宝可梦改附。
260,ハスボー,莲叶童子,MC,175/742,宝可梦/基础,无,无,无,60,水,雷,无,1,水枪,水,20,无
261,ハスブレロ,莲帽小童,MC,176/742,宝可梦/1阶进化,无,无,莲叶童子,90,水,雷,无,1,水流劈斩,水水,70,下一个自己的次合，这宝可梦招式不能使用。
262,ルンパッパ,乐天河童,MC,177/742,宝可梦/2阶进化,无,无,莲帽小童,140,水,雷,无,2,[特性]巴伊塔鲁太阳巴,无,无,这宝可梦期间，自己的场上的宝可梦全員的最大HP，各自「+40」。这个效果，这特性带有宝可梦何只也，不叠加。
262,ルンパッパ,乐天河童,MC,177/742,宝可梦/2阶进化,无,无,莲帽小童,140,水,雷,无,2,水炮水花,水水●,130,无
263,ホエルコ,吼吼鲸,MC,180/742,宝可梦/基础,无,无,无,130,水,雷,无,3,的,●●●,60,无
264,ホエルオー,吼鲸王,MC,181/742,宝可梦/1阶进化,无,无,吼吼鲸,240,水,雷,无,4,水炮波恩普,●●●●,10,这宝可梦附有【水】能量的数×50点伤害追加。
265,ナンジャモのビリリダマ,奇树的霹雳电球,MC,234/742,宝可梦/基础,无,训练家的宝可梦（奇树）,无,70,雷,斗,无,1,奇艾伊恩博鲁托,●●,20,自己的「奇树的宝可梦」全員附有【雷】能量的数×20点伤害追加。
266,ナンジャモのマルマイン,奇树的顽皮雷弹,MC,235/742,宝可梦/1阶进化,无,训练家的宝可梦（奇树）,奇树的霹雳电球,100,雷,斗,无,无,炸弹,雷雷,无,这宝可梦100点伤害。硬币1次掷正面的话，对手的战斗宝可梦【昏厥】。
266,ナンジャモのマルマイン,奇树的顽皮雷弹,MC,235/742,宝可梦/1阶进化,无,训练家的宝可梦（奇树）,奇树的霹雳电球,100,雷,斗,无,无,闪电球,雷雷●,100,无
267,Nのバチュル,N的电电虫,SV9,028/100,宝可梦/基础,无,训练家的宝可梦（N）,无,40,雷,斗,无,1,巴奇巴奇希约-托,●●,30,伤害造成之前，对手的战斗宝可梦附有「宝可梦道具」弃牌区。弃牌区情况，对手的战斗宝可梦【麻痹】。
268,ナンジャモのズピカ,奇树的光蚪仔,MC,273/742,宝可梦/基础,无,训练家的宝可梦（奇树）,无,60,雷,斗,无,2,小型雷,雷●,30,无
269,ナンジャモのハラバリーex,奇树的电肚蛙ex,MC,274/742,宝可梦/1阶进化,ex,训练家的宝可梦（奇树）,奇树的光蚪仔,280,雷,斗,无,2,[特性]电斯托利-玛-,无,无,自己的番何次在也可以使用。自己的手牌从「基本【雷】能量」1张选择，自己的「奇树的宝可梦」附上。
269,ナンジャモのハラバリーex,奇树的电肚蛙ex,MC,274/742,宝可梦/1阶进化,ex,训练家的宝可梦（奇树）,奇树的光蚪仔,280,雷,斗,无,2,闪电鸟博鲁托,雷雷雷●,230,下一个自己的次合，这宝可梦招式不能使用。
270,ナンジャモのカイデン,奇树的电海燕,MC,278/742,宝可梦/基础,无,训练家的宝可梦（奇树）,无,60,雷,雷,斗,1,在,雷,10,硬币1次掷正面的话，20点伤害追加。
271,ナンジャモのタイカイデン,奇树的大电海燕,MC,279/742,宝可梦/1阶进化,无,训练家的宝可梦（奇树）,奇树的电海燕,120,雷,雷,斗,1,[特性]夫猛攻抽牌,无,无,自己的番，这宝可梦附有「基本【雷】能量」1个弃牌区的话，1次可以使用。自己的手牌6张，从牌库抽牌。
271,ナンジャモのタイカイデン,奇树的大电海燕,MC,279/742,宝可梦/1阶进化,无,训练家的宝可梦（奇树）,奇树的电海燕,120,雷,雷,斗,1,玛哈博鲁托,雷●●,70,无
272,リーリエのピッピex,莉莉艾的皮皮ex,MC,287/742,宝可梦/基础,ex,训练家的宝可梦（利-利艾）,无,190,超,钢,无,1,[特性]夫艾阿利-区域,无,无,这宝可梦期间，对手的场上的【龙】宝可梦全員的弱点，全部【超】属性。［弱点「×2」在计算。］
272,リーリエのピッピex,莉莉艾的皮皮ex,MC,287/742,宝可梦/基础,ex,训练家的宝可梦（利-利艾）,无,190,超,钢,无,1,夫鲁月洛恩多,超●,20,双方的备战区宝可梦的数×20点伤害追加。
273,ジュペッタ,诅咒娃娃,SV9,036/100,宝可梦/1阶进化,无,无,怨影娃娃,90,超,恶,斗,1,的的和,超,无,对手对手自身的手牌3张选择，牌库放次并洗切。
273,ジュペッタ,诅咒娃娃,SV9,036/100,宝可梦/1阶进化,无,无,怨影娃娃,90,超,恶,斗,1,霍洛乌射击,超●,70,无
274,ダンバル,铁哑铃,SV9,037/100,宝可梦/基础,无,无,无,60,超,恶,斗,1,阿塔库,超,10,无
274,ダンバル,铁哑铃,SV9,037/100,宝可梦/基础,无,无,无,60,超,恶,斗,1,光束,超超,30,无
275,メタング,金属怪,SV9,038/100,宝可梦/1阶进化,无,无,铁哑铃,100,超,恶,斗,2,精神拳,超,30,无
275,メタング,金属怪,SV9,038/100,宝可梦/1阶进化,无,无,铁哑铃,100,超,恶,斗,2,的头锤,超超,50,无
276,メタグロス,巨金怪,SV9,039/100,宝可梦/2阶进化,无,无,金属怪,170,超,恶,斗,3,无,超,60,无
276,メタグロス,巨金怪,SV9,039/100,宝可梦/2阶进化,无,无,金属怪,170,超,恶,斗,3,吉约伊恩托光束,超超,130,自己的备战区「铁哑铃」「金属怪」的话，150点伤害追加。
277,Nのシンボラー,N的象征鸟,SV9,040/100,宝可梦/基础,无,训练家的宝可梦（N）,无,110,超,雷,斗,1,无,超,20,无
277,Nのシンボラー,N的象征鸟,SV9,040/100,宝可梦/基础,无,训练家的宝可梦（N）,无,110,超,雷,斗,1,比库托利-希恩博鲁,超●●,无,这个招式使用过时，自己的奖赏卡的剩余张数1张的话，这対戦自己的勝。
278,リーリエのアブリー,莉莉艾的萌虻,MC,338/742,宝可梦/基础,无,训练家的宝可梦（利-利艾）,无,30,超,钢,无,无,和,超,无,这宝可梦的HP「10」恢复。
279,リーリエのアブリボン,莉莉艾的蝶结萌虻,MC,339/742,宝可梦/1阶进化,无,训练家的宝可梦（利-利艾）,莉莉艾的萌虻,70,超,钢,无,无,[特性]乌伊恩库,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。对手的手牌查看，该其中从【基础】宝可梦任意选择，对手的备战区放出。
279,リーリエのアブリボン,莉莉艾的蝶结萌虻,MC,339/742,宝可梦/1阶进化,无,训练家的宝可梦（利-利艾）,莉莉艾的萌虻,70,超,钢,无,无,魔法射击,超,50,无
280,リーリエのキュワワー,莉莉艾的花疗环环,MC,340/742,宝可梦/基础,无,训练家的宝可梦（利-利艾）,无,70,超,钢,无,1,无,●,无,自己的牌库从【基础】宝可梦的「利-利艾的宝可梦」任意选择，备战区放出。然后洗牌库。
280,リーリエのキュワワー,莉莉艾的花疗环环,MC,340/742,宝可梦/基础,无,训练家的宝可梦（利-利艾）,无,70,超,钢,无,1,时,超,30,这宝可梦和，附有全部的卡，手牌放次。
281,ウリムー,小山猪,MC,362/742,宝可梦/基础,无,无,无,70,斗,草,无,2,呼唤伙伴,●,无,自己的牌库从【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。
281,ウリムー,小山猪,MC,362/742,宝可梦/基础,无,无,无,70,斗,草,无,2,无,斗,10,无
282,イノムー,长毛猪,MC,363/742,宝可梦/1阶进化,无,无,小山猪,100,斗,草,无,3,无,●,20,无
282,イノムー,长毛猪,MC,363/742,宝可梦/1阶进化,无,无,小山猪,100,斗,草,无,3,基巴在带有,斗斗,50,无
283,マンムーex,象牙猪ex,MC,364/742,宝可梦/2阶进化,ex,无,长毛猪,340,斗,草,无,4,[特性]玛恩莫斯基亚利-,无,无,自己的番1次可以使用。自己的牌库从宝可梦1张选择，给对手查看，加入手牌。然后洗牌库。
283,マンムーex,象牙猪ex,MC,364/742,宝可梦/2阶进化,ex,无,长毛猪,340,斗,草,无,4,和,斗斗,180,自己的备战区的【2阶进化】宝可梦的数×40点伤害追加。
284,ヨーギラス,由基拉,SV9,047/100,宝可梦/基础,无,无,无,70,斗,草,无,1,无,●●,20,硬币1次掷正面的话，对手的战斗宝可梦附有能量1个选择，弃牌区。
285,サナギラス,沙基拉,SV9,048/100,宝可梦/1阶进化,无,无,由基拉,90,斗,草,无,1,和,●●,60,这宝可梦也对20点伤害。
286,イワンコ,岩狗狗,SV9,051/100,宝可梦/基础,无,无,无,70,斗,草,无,1,无,●,无,自己的牌库从上方1张查看，也和放次。可以选择，该卡弃牌区。
286,イワンコ,岩狗狗,SV9,051/100,宝可梦/基础,无,无,无,70,斗,草,无,1,踩踏,●●,20,无
287,ルガルガン,鬃岩狼人,SV9,052/100,宝可梦/1阶进化,无,无,岩狗狗,120,斗,草,无,2,[特性]和和,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的弃牌区从「尖刺能量」最多2张选择，这宝可梦附上。
287,ルガルガン,鬃岩狼人,SV9,052/100,宝可梦/1阶进化,无,无,岩狗狗,120,斗,草,无,2,库拉奇牙,●●●,40,对手的战斗宝可梦放置有伤害指示物的数×40点伤害追加。
288,ホップのスナヘビ,赫普的沙包蛇,SV9,053/100,宝可梦/基础,无,训练家的宝可梦（赫普）,无,80,斗,草,无,2,无,●,无,自己的牌库从竞技场卡1张选择，给对手查看，加入手牌。然后洗牌库。
288,ホップのスナヘビ,赫普的沙包蛇,SV9,053/100,宝可梦/基础,无,训练家的宝可梦（赫普）,无,80,斗,草,无,2,啃咬,斗●,20,无
289,ホップのサダイジャ,赫普的沙螺蟒,SV9,054/100,宝可梦/1阶进化,无,训练家的宝可梦（赫普）,赫普的沙包蛇,140,斗,草,无,3,无,斗●,30,下一个对手的次合，这个招式受到宝可梦，不能撤退。
289,ホップのサダイジャ,赫普的沙螺蟒,SV9,054/100,宝可梦/1阶进化,无,训练家的宝可梦（赫普）,赫普的沙包蛇,140,斗,草,无,3,古拉乌恩多破坏,斗●●,140,自己的备战区宝可梦全員也对，各自20点伤害。［备战区弱点・抵抗力不计算。］
290,バンギラス,班吉拉,SV9,058/100,宝可梦/2阶进化,无,无,沙基拉,190,恶,草,无,3,[特性]的,无,无,这宝可梦战斗场期间，对手手牌从物品卡放出不能使用。
290,バンギラス,班吉拉,SV9,058/100,宝可梦/2阶进化,无,无,沙基拉,190,恶,草,无,3,库拉库斯托恩普,恶●,150,对手的牌库从上方2张弃牌区。
291,Nのチョロネコ,N的扒手猫,MC,457/742,宝可梦/基础,无,训练家的宝可梦（N）,无,70,恶,草,无,1,无,恶●,30,对手的手牌查看，该其中从卡1张选择，对手的牌库的下方放次。
292,Nのゾロア,N的索罗亚,MC,469/742,宝可梦/基础,无,训练家的宝可梦（N）,无,70,恶,草,无,1,抓,恶,20,无
293,Nのゾロアークex,N的索罗亚克ex,MC,470/742,宝可梦/1阶进化,ex,训练家的宝可梦（N）,N的索罗亚,280,恶,草,无,2,[特性]和,无,无,自己的番，自己的手牌1张弃牌区的话，1次可以使用。自己的牌库2张抽牌。
293,Nのゾロアークex,N的索罗亚克ex,MC,470/742,宝可梦/1阶进化,ex,训练家的宝可梦（N）,N的索罗亚,280,恶,草,无,2,夜吉约-卡-,恶恶,无,自己的备战区的「N的宝可梦」带有招式1选择，这招式和使用。
294,Nのギアル,N的齿轮儿,SV9,064/100,宝可梦/基础,无,训练家的宝可梦（N）,无,60,钢,火,草,1,达布鲁旋转,●,10×,硬币2次掷，正面的数×10点伤害。
295,Nのギギアル,N的齿轮组,SV9,065/100,宝可梦/1阶进化,无,训练家的宝可梦（N）,N的齿轮儿,90,钢,火,草,3,吉阿,●,20,对手的战斗宝可梦【混乱】。
